Type,Difficulty,Topic,Question,Answer,Option1,Option2,Option3,Option4
TF,Challenging,Systems Design,"William knows how to use word processors, spreadsheets, and presentation software. He also has a basic knowledge of hardware, software, and the Internet. Given this information, it can be concluded that William has computer literacy.",TRUE,TRUE,FALSE,,
MC,Easy,Systems Design,The process of capturing and recording network traffic is referred to as _____.,1,sniffing,phishing,bombing,pharming
MC,Easy,Systems Design,Which are not allowed in domain names?,4,Numerals,Hyphens,Combinations of letters,Spaces
MC,Easy,Systems Design,One way to improve the security of a Wi-Fi network is to ___________.,1,enable WPA2 encryption,maintain the router's default password,filter MAC addresses on your computer,increase the range of the wireless signal
MC,Easy,Systems Design,_____ is a computer crime that involves destroying or disrupting computer services.,4,Keystroke logging,Dumpster diving,Bombing,Sabotage
MC,Moderate,Systems Design,Which statement is true of transaction-processing systems?,1,They focus on data collection and processing.,They focus on integrating hardware and software technologies.,"They focus on integrating data, processes, and human elements.",They focus on maximizing human involvement.
MC,Moderate,Systems Design,Companies exclusively using business-to-consumer (B2C) applications:,1,sell directly to consumers,rely on physical storefronts for customer interactions,approach customers through third-party agents,focus on using personalized physical stores to serve consumers
MC,Moderate,Systems Design,"During the _____ phase of the systems development life cycle (SDLC), a team assesses how a system is working and takes steps to keep the system up and running.",3,planning,implementation,maintenance,design
MC,Moderate,Systems Design,"Which is a generic top-level domain (TLD) name used for backbone, regional, and commercial networks?",3,.org,.int,.net,.mil
MC,Challenging,Systems Design,"Unlike data in databases, data in data warehouses is:",4,function oriented,raw transaction data,collected from a single source,used for analytical purposes
MC,Challenging,Systems Design,"The word computer consists of 64 bits, which is equivalent to _____ bytes.",2,6,8,16,32
MC,Challenging,Systems Design,"David makes two copies of an antivirus software package he just bought and sells one of the copies to Eric. In this scenario, David’s actions are considered _____.",3,"ethical, but illegal","unethical, but legal",illegal and unethical,legal and ethical
FITB,Easy,Systems Design,"In the context of IT jobs in the information systems field, a _____ is typically responsible for providing network and cybersecurity.",network administrator,,,,
FITB,Easy,Systems Design,The _____ denotes the type of organization or country the address of a document or site on the Internet specifies.,top-level domain,,,,
FITB,Easy,Systems Design,All client computers that try to access an access point are required to include an _____ in all their packets.,SSID,,,,
FITB,Easy,Systems Design,The _____ denotes the type of organization or country the address of a document or site on the Internet specifies.,top-level domain,,,,
FITB,Moderate,Systems Design,"In a relational database, every record must be uniquely identified by a _____ key.",primary,,,,
FITB,Moderate,Systems Design,_____ is where two programmers participate in one development effort at one workstation.,Pair programming,,,,
FITB,Moderate,Systems Design,"One shortcoming of _____ is a narrow focus, which might limit future development.",rapid application development,,,,
FITB,Moderate,Systems Design,Cookies provide information about a user’s _____ and computer equipment.,location,,,,
FITB,Challenging,Systems Design,"When disaster strikes, an organization should contact the _____ to resume normal operations as soon as possible.",insurance company,,,,
FITB,Challenging,Systems Design,"XYZtore Inc., an online retail store, sells all of its products through its Web site, xyztore.com, and through an application on cell phones. XYZtore Inc. is an example of a _____.",pure-play company,,,,
FITB,Challenging,Systems Design,"Paul, a data analyst, is working on a project from home and needs to download some data from his office network. _____ servers will best serve his purpose.",Remote access,,,,
FITB,Challenging,Systems Design,"Sam is a gamer, and every time he plays at a gaming center, he pays five dollars using a card that he recharges electronically every week. It is evident that Sam uses _____ as the mode of payment.",e-cash,,,,
